region	animal	pk
Lumbar SC	2501	5.877589981
Lumbar SC	2502	23.21769277
Lumbar SC	2503	49.86974125
Lumbar SC	2504	24.41778997
Thoracic SC	2501	2.604063856
Thoracic SC	2502	18.55581363
Thoracic SC	2503	30.89795322
Thoracic SC	2504	19.70674923
Cervical SC	2501	2.114304207
Cervical SC	2502	14.98730439
Cervical SC	2503	20.76657666
Cervical SC	2504	10.70961371
Frontal CX	2501	1.541553667
Frontal CX	2502	31.42406601
Frontal CX	2503	73.73092779
Frontal CX	2504	33.21008535
Motor CX	2501	10.58597653
Motor CX	2502	16.49248104
Motor CX	2503	48.5597157
Motor CX	2504	26.23513579
Enthorinal CX	2501	7.34966185
Enthorinal CX	2502	42.29325789
Enthorinal CX	2503	65.60922259
Enthorinal CX	2504	28.70929064
Insular CX	2501	5.525262748
Insular CX	2502	36.44727586
Insular CX	2503	69.65368152
Insular CX	2504	36.69348223
Temporal CX	2501	2.083117255
Temporal CX	2502	23.61155381
Temporal CX	2503	48.59640482
Temporal CX	2504	28.11354191
Occipital CX	2501	8.100669255
Occipital CX	2502	35.56554541
Occipital CX	2503	55.82301975
Occipital CX	2504	39.47561799
Pons R/D	2501	0.588450946
Pons R/D	2502	13.54156981
Pons R/D	2503	23.26074381
Pons R/D	2504	14.37719625
Medualla R/V	2501	2.219109992
Medualla R/V	2502	15.0008477
Medualla R/V	2503	18.28681357
Medualla R/V	2504	8.263274231
Medulla C	2501	0.1
Medulla C	2502	14.38517204
Medulla C	2503	20.24155688
Medulla C	2504	11.7473609
Hippocampus	2501	1.187480502
Hippocampus	2502	17.13452208
Hippocampus	2503	26.25942423
Hippocampus	2504	16.17121339
Amygdala	2501	3.353422232
Amygdala	2502	21.43610702
Amygdala	2503	12.62764098
Amygdala	2504	10.53108627
Thalamus MD	2501	3.551995586
Thalamus MD	2502	8.912781725
Thalamus MD	2503	16.82949741
Thalamus MD	2504	23.51742337
Cerebellar CX	2501	3.145022698
Cerebellar CX	2502	13.82741413
Cerebellar CX	2503	48.56326324
Cerebellar CX	2504	23.67646446
Globus palidus	2501	2.005794722
Globus palidus	2502	0.262840899
Globus palidus	2503	7.232998784
Globus palidus	2504	1.223583973
Caudate	2501	0.1
Caudate	2502	0.1
Caudate	2503	0.1
Caudate	2504	3.839180169
Putamen	2501	0.1
Putamen	2502	0.1
Putamen	2503	4.360572402
Putamen	2504	0.1
