animal	region	estimated_number_of_cells	mean_reads_per_cell	median_genes_per_cell	number_of_reads	valid_barcodes	sequencing_saturation	q30_bases_in_barcode	q30_bases_in_rna_read	q30_bases_in_umi	reads_mapped_to_genome	reads_mapped_confidently_to_genome	reads_mapped_confidently_to_intergenic_regions	reads_mapped_confidently_to_intronic_regions	reads_mapped_confidently_to_exonic_regions	reads_mapped_confidently_to_transcriptome	reads_mapped_antisense_to_gene	fraction_reads_in_cells	total_genes_detected	median_umi_counts_per_cell
1501	caudate	8030	65856	2525	528823284	96.9%	61.9%	93.6%	91.1%	93.6%	93.9%	90.2%	13.5%	51.0%	25.7%	50.1%	25.4%	83.4%	26233	5589
1501	putamen	6160	110231	2922	679023603	96.7%	70.3%	94.0%	92.8%	93.9%	93.2%	88.9%	13.2%	48.2%	27.5%	48.0%	26.6%	82.9%	26539	7117
1501	thalamus	9119	57397	2443	523400638	96.5%	53.3%	93.7%	91.7%	93.4%	93.1%	88.8%	14.4%	53.2%	21.2%	45.0%	28.3%	85.2%	26772	5418
1502	caudate	7094	100325	2802	711704703	97.0%	73.8%	93.9%	92.0%	93.9%	93.9%	90.3%	13.7%	50.2%	26.4%	52.7%	22.7%	86.1%	26518	6782
1502	putamen	8078	86945	2603	702343011	96.8%	70.1%	94.1%	92.4%	94.0%	93.9%	90.2%	13.1%	48.1%	29.1%	49.2%	26.8%	83.7%	26542	5990
1502	thalamus	6231	101504	2385	632468828	96.4%	73.6%	93.7%	91.5%	93.3%	93.0%	88.8%	14.2%	50.2%	24.4%	46.0%	27.4%	79.5%	26426	5144
2501	caudate	6009	123253	2302	740627025	97.0%	83.1%	93.8%	92.1%	93.7%	93.7%	89.7%	13.8%	52.3%	23.6%	52.0%	22.7%	82.5%	26055	5048
2501	putamen	8925	74904	3239	668514735	96.3%	53.1%	94.1%	92.0%	94.0%	93.8%	89.9%	13.4%	49.3%	27.2%	46.6%	28.8%	82.1%	26700	7964
2501	thalamus	5348	129406	3059	692062857	96.4%	74.5%	93.6%	91.6%	93.3%	92.0%	87.2%	14.5%	54.0%	18.7%	46.4%	25.2%	83.4%	26648	7788
2502	caudate	5163	147972	2575	763981690	97.2%	85.8%	93.7%	92.3%	93.7%	93.9%	90.0%	14.5%	56.1%	19.4%	53.1%	21.0%	87.8%	26198	6092
2502	putamen	8189	78254	3083	640818556	96.6%	53.8%	93.9%	92.3%	93.7%	92.8%	88.2%	14.7%	54.1%	19.4%	43.0%	29.4%	83.0%	26838	6719
2502	thalamus	8577	74005	3074	634738693	96.5%	59.7%	93.7%	91.7%	93.3%	92.9%	88.4%	16.0%	56.6%	15.9%	50.4%	21.0%	83.1%	26943	7170
2503	caudate	6140	107536	2880	660267998	97.1%	76.1%	93.7%	92.0%	93.7%	94.2%	90.2%	15.6%	55.0%	19.6%	52.3%	21.1%	84.3%	26174	6821
2503	putamen	7872	82412	2839	648743982	96.9%	65.4%	93.9%	92.6%	93.8%	93.8%	89.7%	13.6%	50.5%	25.5%	48.8%	26.1%	84.7%	26511	6600
2503	thalamus	6776	91223	2990	618129639	96.6%	61.4%	93.6%	91.3%	93.2%	92.8%	88.6%	14.4%	54.5%	19.7%	48.1%	25.0%	85.0%	26677	7340
2504	caudate	6848	104342	3202	714534854	97.2%	68.6%	93.7%	91.5%	93.7%	94.4%	90.6%	15.3%	56.5%	18.9%	54.6%	19.4%	88.5%	26621	8335
2504	putamen	8819	76100	3211	671123763	96.5%	56.0%	93.9%	92.4%	93.7%	93.9%	89.9%	14.5%	51.2%	24.2%	45.9%	28.4%	84.3%	26745	7600
2504	thalamus	7175	128177	3096	919670842	96.4%	70.9%	93.7%	91.7%	93.4%	92.6%	88.1%	15.1%	53.4%	19.6%	48.6%	23.3%	82.9%	26873	7526
