meta_region	n	mean_pd	l95_pd	u95_pd	mean_pk	l95_pk	u95_pk
putamen	4	0.7352274755781234	0.5814025180136378	0.889052433142609	1.1651431005	-0.922499014861327	3.252785215861327
globus palidus	4	0.675212645302464	0.5363305141464056	0.8140947764585225	2.6813045945000002	-0.3733560050193847	5.735965194019386
cerebellar cortex	4	0.5052164737687453	-0.019835907917677198	1.030268855455168	22.303041131999997	3.2806887886918688	41.325393475308125
caudate	4	0.45205714295280486	0.343767268241262	0.5603470176643477	1.03479504225	-0.7973695734865978	2.866959657986598
thalamus	4	0.33867651299273566	0.23201737083100663	0.4453356551544647	13.20292452275	4.602004347738001	21.803844697761996
hippocampus	4	0.21304170765886976	0.032449791580529797	0.3936336237372097	15.1881600505	5.014162179015225	25.362157921984775
amygdala	4	0.21135398531362737	0.12020833927605151	0.3024996313512032	11.9870641255	4.68955567557578	19.28457257542422
motor cortex	4	0.19988700282894922	0.12692498358610887	0.27284902207178957	25.468327265	9.110645917220438	41.82600861277956
occipital cortex	4	0.17038792257792704	0.016195126898929935	0.32458071825692414	34.74121310125	15.328207134172892	54.1542190683271
pons	4	0.16661247363496584	0.02953350972225338	0.3036914375476783	12.941990204	3.7924718919142357	22.091508516085764
frontal cortex	4	0.15290567885929354	0.07642010463911307	0.229391253079474	34.97665820425	5.930253605494631	64.02306280300537
temporal cortex	4	0.15180021126276805	0.030882541261753646	0.27271788126378244	25.60115444875	6.903003748817593	44.29930514868241
medulla	4	0.15169529312071034	0.06257922584589527	0.24081136039552542	11.280516914125	3.7013403378276912	18.85969349042231
cervical cord	4	0.11811560900924926	0.040551430063030455	0.1956797879554681	12.14444974175	4.447057285023889	19.84184219847611
insular cortex	4	0.11476895533390538	0.06766239955786227	0.1618755111099485	37.0799255895	11.417018656164917	62.74283252283509
lumbar cord	4	0.09271586577754486	0.07826046962339003	0.10717126193169968	25.845703492749998	8.090033199690332	43.60137378580966
thoracic cord	4	0.08656446726212236	0.06932152583482282	0.1038074086894219	17.941144984	6.5323121817303225	29.34997778626968
enthorinal cortex	4	0.08066923225091827	0.045264749991659955	0.11607371451017658	35.9903582425	12.050518681873942	59.93019780312606
