meta_region	animal	qpcr	treatment
amygdala	2501	0.34603178979789173	Malat1 ASO
amygdala	2502	0.14733111739352756	Malat1 ASO
amygdala	2503	0.15134788330476848	Malat1 ASO
amygdala	2504	0.20070515075832168	Malat1 ASO
basal forebrain nuclei	2501	0.33374997114309585	Malat1 ASO
basal forebrain nuclei	2502	0.08326049463183435	Malat1 ASO
basal forebrain nuclei	2503	0.04426736721462761	Malat1 ASO
basal forebrain nuclei	2504	0.06470553199528253	Malat1 ASO
caudate	2501	0.3195617483489033	Malat1 ASO
caudate	2502	0.4770377334076374	Malat1 ASO
caudate	2503	0.585417420049212	Malat1 ASO
caudate	2504	0.4262116700054667	Malat1 ASO
central gray	2501	0.27534294355805494	Malat1 ASO
central gray	2502	0.23458028524496705	Malat1 ASO
central gray	2503	0.17520291645847166	Malat1 ASO
central gray	2504	0.1893762081181113	Malat1 ASO
cerebellar cortex	2501	1.2838039689561485	Malat1 ASO
cerebellar cortex	2502	0.4293517990329267	Malat1 ASO
cerebellar cortex	2503	0.11987541788690265	Malat1 ASO
cerebellar cortex	2504	0.18783470919900375	Malat1 ASO
cerebellar peduncle	2501	0.5267148633687463	Malat1 ASO
cerebellar peduncle	2502	0.06664725846932529	Malat1 ASO
cerebellar peduncle	2503	0.06420771902259444	Malat1 ASO
cerebellar peduncle	2504	0.09470996096513	Malat1 ASO
cervical cord	2501	0.23481858568327552	Malat1 ASO
cervical cord	2502	0.0983132100517781	Malat1 ASO
cervical cord	2503	0.06307326513945795	Malat1 ASO
cervical cord	2504	0.0762573751624855	Malat1 ASO
corpus callosum	2501	0.28266972394100204	Malat1 ASO
corpus callosum	2502	0.143939126666118	Malat1 ASO
corpus callosum	2503	0.17255957741759612	Malat1 ASO
corpus callosum	2504	0.2357069206981768	Malat1 ASO
deep cerebellar nuclei	2501	0.622868997555783	Malat1 ASO
deep cerebellar nuclei	2502	0.4492175029968811	Malat1 ASO
deep cerebellar nuclei	2503	0.19892498864644273	Malat1 ASO
deep cerebellar nuclei	2504	0.34702911606152315	Malat1 ASO
enthorinal cortex	2501	0.11865426604503591	Malat1 ASO
enthorinal cortex	2502	0.05996569609449453	Malat1 ASO
enthorinal cortex	2503	0.04124857985604311	Malat1 ASO
enthorinal cortex	2504	0.10280838700809948	Malat1 ASO
frontal cortex	2501	0.2567306260266892	Malat1 ASO
frontal cortex	2502	0.09530844268197428	Malat1 ASO
frontal cortex	2503	0.0903654350552376	Malat1 ASO
frontal cortex	2504	0.16921821167327308	Malat1 ASO
